 category_name , category_name_ar ,,customs,tax_aqaba,tax_amm,margin_amm,margin_aqaba,special_tax,us_tax,cap_aqaba,cap_amm, min_side_length 
" Pasta (Stuffed), whether or not cooked or otherwise prepared ", ??????? ????? ," {""category_name"" : ""Pasta (Stuffed), whether or not cooked or otherwise prepared"",""category_name_ar"" : ""??????? ?????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 PCs , ????? ?????????  ," {""category_name"" : ""PCs"",""category_name_ar"" : ""????? ????????? ""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Perfume , ??? ," {""category_name"" : ""Perfume"",""category_name_ar"" : ""???""}, ",0.12,0.07,0.16,0.16,0.12,0.05,0.00,999.00,999.00, 1.00 
 Perfume - US Made , ??? ," {""category_name"" : ""Perfume - US Made"",""category_name_ar"" : ""???""}, ",0.00,0.07,0.16,0.10,0.10,0.05,0.00,999.00,999.00, 1.00 
 Playstation , ???? ?????  ," {""category_name"" : ""Playstation"",""category_name_ar"" : ""???? ????? ""}, ",0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
" Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins ","???? ???????? ????? ?????? ??? ???????? ?????????? ? ???????? ??????? ? ???? ???????"," {""category_name"" : ""Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins"",""category_name_ar"" : ""???? ???????? ????? ?????? ??? ???????? ?????????? ? ???????? ??????? ? ???? ???????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Power Suppy , ???? ?????? ," {""category_name"" : ""Power Suppy"",""category_name_ar"" : ""???? ??????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Printer , ????? ," {""category_name"" : ""Printer"",""category_name_ar"" : ""?????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Projectors , ???? ???? ," {""category_name"" : ""Projectors"",""category_name_ar"" : ""???? ????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
" Protein concentrates and textured protein substances, other ",?????? ?????? ????? ???????? ," {""category_name"" : ""Protein concentrates and textured protein substances, other"",""category_name_ar"" : ""?????? ?????? ????? ???????? ""}, ",0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
