 Name English , Name Arabic , Category English - Arabic ,Customs, Aqaba Tax , Amman Tax , Margin , Aqaba Margin , Special Tax ,US Tax, Cap Aqaba , Cap Amman , Min Side Dimension  
 Projectors , ???? ???? , Projectors ???? ???? ,35.0%,0%,16%,8%,9.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
" Protein concentrates and textured protein substances, other ",?????? ?????? ????? ???????? ," Protein concentrates and textured protein substances, other ?????? ?????? ????? ????????  ",15.0%,0%,16%,9%,10.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Rangefinders ,? ?????? ???????, Rangefinders ? ?????? ??????? ,15.0%,0%,16%,9%,10.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Real Jewelry , ??????? ??? ???? ?????? , Real Jewelry ??????? ??? ???? ?????? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Scanner , ???? ???? , Scanner ???? ???? ,0.0%, JOD -   ,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Seeds (for planting) , ???? ??????? , Seeds (for planting) ???? ??????? ,15.0%,0%,16%,9%,10.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Shampoos , ????? , Shampoos ????? ,11.5%,0%,16%,9.0%,10.0%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Shoes , ?????  , Shoes ?????  ,35.0%,0%,16%,8%,9%,0%,0.00%, 1.2 , JOD 1.35 , 1.00 
 Software , ??????? , Software ??????? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Sound recording or reproducing apparatus .  ,????? ????? ?? ????? ?????, Sound recording or reproducing apparatus .  ????? ????? ?? ????? ????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Spare Parts , ??? ???? , Spare Parts ??? ???? ,35.0%,7%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Speaker , ?????? , Speaker ?????? ,35.0%,7%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 5.00 
 Sporting Goods  , ????? ????????  , Sporting Goods  ????? ????????  ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Sunglasses ,? ?????? ?????, Sunglasses ? ?????? ????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Tablet , ??? ???? , Tablet ??? ???? ,0.0%,7%,16%,10.0%,10.0%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Tools , ??? ?????? , Tools ??? ?????? ,15.0%,0%,16%,9%,10.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
 ToothBrush , ????? ???????  , ToothBrush ????? ???????  ,11.5%,0%,16%,9.0%,10.0%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Toys , ????? , Toys ????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
" Trays, dishes, plates, cups and the like ",? ????? ?????? ?????? ??? ???????," Trays, dishes, plates, cups and the like ? ????? ?????? ?????? ??? ??????? ",25.0%,0%,16%,9%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
" T-shirts, singlets and other vests, knitted or crocheted. ","????? ?? ??? ""?? ????"" ?????? ????? ?????? ?? ?????? ??? ??????? ? ?? ?????? ?? ??????"," T-shirts, singlets and other vests, knitted or crocheted. ????? ?? ??? ""?? ????"" ?????? ????? ?????? ?? ?????? ??? ??????? ? ?? ?????? ?? ?????? ",25.0%,0%,16%,9%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 TV  , ???? ?????  , TV  ???? ?????  ,25.0%,7%,16%,9%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 US Made Cosmetics , ?????? ????????? ?????|????? ????? , US Made Cosmetics ?????? ????????? ?????|????? ????? ,0.0%,7%,16%,16.0%,16.0%,5%,0.00%, 999.00 , 999.00 , 1.00 
 US Made Products , ?????? ?????????  , US Made Products ?????? ?????????  ,0.0%,7%,16%,10.0%,10.0%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Vitamins , ??????? , Vitamins ??????? ,15.0%,0%,16%,9%,10.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Watch (Mechanical display only) , ???? ??? ????????? , Watch (Mechanical display only) ???? ??? ????????? ,15.0%,7%,16%,9%,10.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Watch/Sports watches/wearable gear , ???? / ????? ??????? / ???? ???????? ??????? , Watch/Sports watches/wearable gear ???? / ????? ??????? / ???? ???????? ??????? ,35.0%,7%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,,, 999.00 , 999.00 , 1.00 
